title,views,author,videoId,uploadDate,comments,dateFeaturedEpoch,dateFeatured,timestampFeatured,description,duration,age,stars
Kites,,ScottEvil,AnTi-2KZ7MU,"June 13, 2005",,1118792488000,"Tue, 14 Jun 2005 23:41:28 GMT",20050614234128,,,,
Ibiza,,Maupy,4Fr54d-m7mc,"June 13, 2005",,1118792488000,"Tue, 14 Jun 2005 23:41:28 GMT",20050614234128,,,,
Bikes,,ScottEvil,_N57DbnvDN4,"June 13, 2005",,1118792488000,"Tue, 14 Jun 2005 23:41:28 GMT",20050614234128,,,,
Bootie Christ Dance,,BootieChrist,lzj98rpCcJc,"April 24, 2005",,1118792488000,"Tue, 14 Jun 2005 23:41:28 GMT",20050614234128,,,,
Tim sleding,,vivaciousvalerii,5RUZZHISpoY,"June 13, 2005",,1118792488000,"Tue, 14 Jun 2005 23:41:28 GMT",20050614234128,,,,
Philipsburg - Princess Juliana (TNCM / SXM),,jawed,UNY7IqpA2CQ,"June 11, 2005",,1118882563000,"Thu, 16 Jun 2005 00:42:43 GMT",20050616004243,,,,
What?!?!,,cabmobile,wyZ0XKvHIVw,"May 4, 2005",,1118882563000,"Thu, 16 Jun 2005 00:42:43 GMT",20050616004243,,,,
MaleBear,,xanatos,MLEa2XtmmsY,"June 14, 2005",,1118882563000,"Thu, 16 Jun 2005 00:42:43 GMT",20050616004243,,,,
Luis on NY1,,cmonico,yLJdjoS4kcg,"June 15, 2005",,1118882563000,"Thu, 16 Jun 2005 00:42:43 GMT",20050616004243,,,,
Denny's,,jrhyley,_QBPp6zso7g,"June 14, 2005",,1118882563000,"Thu, 16 Jun 2005 00:42:43 GMT",20050616004243,,,,
Baby Fart,48,larfus,usRldgBlEBk,"June 15, 2005",2,1118973109000,"Fri, 17 Jun 2005 01:51:49 GMT",20050617015149,,,,
2 Men in a bath!,31,xanatos,AN7FstkmuTs,"June 15, 2005",0,1118973109000,"Fri, 17 Jun 2005 01:51:49 GMT",20050617015149,,,,
Estacion Espora,23,CAP,DnJcXRHQG1A,"June 13, 2005",0,1118973109000,"Fri, 17 Jun 2005 01:51:49 GMT",20050617015149,,,,
Racing with some cool tunes,2,blackbelt,C1M_ukg4jR8,"June 16, 2005",0,1118973109000,"Fri, 17 Jun 2005 01:51:49 GMT",20050617015149,,,,
QEW,11,ScottEvil,nK68ZN1BUMA,"June 14, 2005",0,1118973109000,"Fri, 17 Jun 2005 01:51:49 GMT",20050617015149,,,,
tribute,26,gp,3_-tvadkXMs,"April 24, 2005",0,1119063395000,"Sat, 18 Jun 2005 02:56:35 GMT",20050618025635,,,,
GREECE!,93,vivaciousvalerii,e_xieum5R98,"June 13, 2005",2,1119063395000,"Sat, 18 Jun 2005 02:56:35 GMT",20050618025635,,,,
"Kid sings New York, New York",72,maxkash,cfAdZW-abgk,"June 14, 2005",0,1119063395000,"Sat, 18 Jun 2005 02:56:35 GMT",20050618025635,,,,
Schlitz Commercial,97,cmonico,wwY2MVX5kZ4,"June 15, 2005",0,1119063395000,"Sat, 18 Jun 2005 02:56:35 GMT",20050618025635,,,,
Tiger Remixed,129,hurlex,gz2DQvgorQU,"April 30, 2005",0,1119063395000,"Sat, 18 Jun 2005 02:56:35 GMT",20050618025635,,,,
Quick Stoppie!!!,221,COBALTGRUV,UFpWzvw5Ito,"May 4, 2005",0,1119149244000,"Sun, 19 Jun 2005 02:47:24 GMT",20050619024724,,,,
Vernal Lullaby,15,bullemhead,KEqhJEJU4rk,"May 2, 2005",0,1119149244000,"Sun, 19 Jun 2005 02:47:24 GMT",20050619024724,,,,
Get Down,109,fusionmonkey,lXtuA9THsMo,"June 14, 2005",2,1119149244000,"Sun, 19 Jun 2005 02:47:24 GMT",20050619024724,,,,
overdramatic: hudson street,12,overdramatic,WuG4gztjxx8,"June 16, 2005",0,1119149244000,"Sun, 19 Jun 2005 02:47:24 GMT",20050619024724,,,,
Toronto Autoshow 2005,39,ScottEvil,n7xrB7Ce_rc,"June 13, 2005",0,1119149244000,"Sun, 19 Jun 2005 02:47:24 GMT",20050619024724,,,,
San Francisco Mission District,11,steve,98UsB_mjMdw,"June 19, 2005",0,1119415970000,"Wed, 22 Jun 2005 04:52:50 GMT",20050622045250,,,,
overdramatic: on the subway,26,overdramatic,vDO4bBCHspU,"June 16, 2005",0,1119415970000,"Wed, 22 Jun 2005 04:52:50 GMT",20050622045250,,,,
overdramatic: city hall park II,11,overdramatic,C_JIYlBvzuo,"June 16, 2005",0,1119415970000,"Wed, 22 Jun 2005 04:52:50 GMT",20050622045250,,,,
Another story about Drey,21,jawed,hO1X7eRy46E,"April 28, 2005",0,1119415970000,"Wed, 22 Jun 2005 04:52:50 GMT",20050622045250,,,,
dunk,33,anillo65,MZ85hfsVL2A,"June 19, 2005",0,1119415970000,"Wed, 22 Jun 2005 04:52:50 GMT",20050622045250,,,,
Eric Rice Promo,44,ericrice,CDxwN8MKoPI,"June 13, 2005",0,1119487406000,"Thu, 23 Jun 2005 00:43:26 GMT",20050623004326,,,,
Slapping Oriental women,1842,larfus,MoLds42eIL8,"June 16, 2005",0,1119487406000,"Thu, 23 Jun 2005 00:43:26 GMT",20050623004326,,,,
Who does the dog like more?!,97,hitofushi,jovunOYy9Jk,"April 29, 2005",0,1119487406000,"Thu, 23 Jun 2005 00:43:26 GMT",20050623004326,,,,
Glitterclub,21,Thms,_jE4Jp-Kn6g,"June 19, 2005",0,1119487406000,"Thu, 23 Jun 2005 00:43:26 GMT",20050623004326,,,,
Bikes,124,ScottEvil,_N57DbnvDN4,"June 13, 2005",0,1119487406000,"Thu, 23 Jun 2005 00:43:26 GMT",20050623004326,,,,
MAK UTI,65,asleeponthesun,EqeeDnGhTd0,"June 16, 2005",1,1119660517000,"Sat, 25 Jun 2005 00:48:37 GMT",20050625004837,,,,
Tiger Remixed,161,hurlex,gz2DQvgorQU,"April 30, 2005",0,1119660517000,"Sat, 25 Jun 2005 00:48:37 GMT",20050625004837,,,,
Mijn Budlight verzameling,44,Tjoeten,XOg1bXaUJnU,"June 19, 2005",0,1119660517000,"Sat, 25 Jun 2005 00:48:37 GMT",20050625004837,,,,
Schlitz Commercial,159,cmonico,wwY2MVX5kZ4,"June 15, 2005",0,1119660517000,"Sat, 25 Jun 2005 00:48:37 GMT",20050625004837,,,,
Cyberdyne Systems from Terminator 2 Movie,30,jawed,s7hzrENAaxg,"June 21, 2005",0,1119660517000,"Sat, 25 Jun 2005 00:48:37 GMT",20050625004837,,,,
A little run on San Gregorio beach.,294,Chad,g-LZSOkwlzU,"June 12, 2005",4,1119747727000,"Sun, 26 Jun 2005 01:02:07 GMT",20050626010207,,,,
Tabby,11,leonamanutd,lLUWOGLxeyk,"June 24, 2005",0,1119747727000,"Sun, 26 Jun 2005 01:02:07 GMT",20050626010207,,,,
Japoneses bailando,274,biboz,f-Wn1PmG46c,"June 14, 2005",3,1119747727000,"Sun, 26 Jun 2005 01:02:07 GMT",20050626010207,,,,
BUSH HAKKA SPEECH,161,wilsonlhw,pRHch2oWBeg,"June 24, 2005",0,1119747727000,"Sun, 26 Jun 2005 01:02:07 GMT",20050626010207,,,,
Positively New Jersey,18,adamarif,1m6Sww_9vSQ,"June 23, 2005",0,1119747727000,"Sun, 26 Jun 2005 01:02:07 GMT",20050626010207,,,,
Le clandestin,44,hchicha,aw9DL5WsXy8,"May 3, 2005",0,1119834751000,"Mon, 27 Jun 2005 01:12:31 GMT",20050627011231,,,,
I Believe,27,jt1892,-xuGDwb8x-E,"June 14, 2005",0,1119834751000,"Mon, 27 Jun 2005 01:12:31 GMT",20050627011231,,,,
Doctor Who- Together till the end,26,TheOCRox331,Ws5z4iN1kiY,"June 25, 2005",0,1119834751000,"Mon, 27 Jun 2005 01:12:31 GMT",20050627011231,,,,
Matrix Redone 2,53,djtrentt,8RhkHO8i5ag,"June 22, 2005",0,1119834751000,"Mon, 27 Jun 2005 01:12:31 GMT",20050627011231,,,,
Concorde Landing,307,jawed,58nnKG7nKoQ,"June 11, 2005",0,1119834751000,"Mon, 27 Jun 2005 01:12:31 GMT",20050627011231,,,,
SBC Park in San Francisco,34,steve,6Gwn0ARKXgE,"June 18, 2005",2,1119922846000,"Tue, 28 Jun 2005 01:40:46 GMT",20050628014046,,,,
MAK UTI,72,asleeponthesun,EqeeDnGhTd0,"June 16, 2005",1,1119922846000,"Tue, 28 Jun 2005 01:40:46 GMT",20050628014046,,,,
Water moto,56,xanatos,Xl8nI3iD2ow,"June 15, 2005",0,1119922846000,"Tue, 28 Jun 2005 01:40:46 GMT",20050628014046,,,,
Super Gokart minispeedway racing-a-gogo,51,punkey,uRlyoDGeBkQ,"June 15, 2005",0,1119922846000,"Tue, 28 Jun 2005 01:40:46 GMT",20050628014046,,,,
Mijn Budlight verzameling,41,Tjoeten,B8gw4_Kl6cQ,"June 19, 2005",0,1119922846000,"Tue, 28 Jun 2005 01:40:46 GMT",20050628014046,,,,
Ibiza,78,Maupy,gYwcw0DzTGM,"June 16, 2005",1,1120014321000,"Wed, 29 Jun 2005 03:05:21 GMT",20050629030521,,,,
He Got Big Fish,577,lcf,dUTZvdgr42U,"June 22, 2005",0,1120014321000,"Wed, 29 Jun 2005 03:05:21 GMT",20050629030521,,,,
Filip - FedEx Auto-X,90,warrtalon,_XfHyR2mNxs,"June 26, 2005",0,1120014321000,"Wed, 29 Jun 2005 03:05:21 GMT",20050629030521,,,,
Why was Steve late?,47,jawed,77QAKf9RGIk,"April 27, 2005",0,1120014321000,"Wed, 29 Jun 2005 03:05:21 GMT",20050629030521,,,,
Ferrari,19,BMWDave,XlxMtOHMQEU,"June 27, 2005",0,1120014321000,"Wed, 29 Jun 2005 03:05:21 GMT",20050629030521,,,,
Drunk gambler discussing life.,117,Kaizenamazen,7fBGxN-W-wE,"June 13, 2005",0,1120095337000,"Thu, 30 Jun 2005 01:35:37 GMT",20050630013537,,,,
overdramatic: world trade center I,42,overdramatic,5nX0OjVuENA,"June 16, 2005",0,1120095337000,"Thu, 30 Jun 2005 01:35:37 GMT",20050630013537,,,,
Jingle en Joe,27,Lena,uE9oPxzDup0,"June 21, 2005",0,1120095337000,"Thu, 30 Jun 2005 01:35:37 GMT",20050630013537,,,,
Sprite � Argentina � Ganas � 2005,20,ivanrodero,mttek4fBsGs,"June 26, 2005",0,1120095337000,"Thu, 30 Jun 2005 01:35:37 GMT",20050630013537,,,,
Father's Day Special,46,ATrain,2yqRMRSgSSY,"June 19, 2005",0,1120095337000,"Thu, 30 Jun 2005 01:35:37 GMT",20050630013537,,,,
