title,description,tags/0,tags/1,tags/2,tags/3,views,author,videoId,uploadDate,comments,dateFeaturedEpoch,dateFeatured,timestampFeatured,age,duration,stars,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,categories/0,tags/18,tags/19,tags/20,tags/21,tags/22
Tiffany,Is a total dork,tiffany,dork,faces,random,133,brennnnnnna,XEGJHUpg18A,"July 1, 2005",1,1121825880000,"Wed, 20 Jul 2005 02:18:00 GMT",20050720021800,,0,,,,,,,,,,,,,,,,,,,,,
Flippin' Safeway!!!,"Well, it is really hard to be me.....I can't go anywhere without flippin...Hey, I wonder if I was supposed to actually get something there?...Oh, well enjoy the vid!!!  COBALT",crazy,stunt,backflip,COBALT,270,COBALTGRUV,vofjtSesu0w,"July 12, 2005",2,1121825880000,"Wed, 20 Jul 2005 02:18:00 GMT",20050720021800,,0,,house,grocery,store,jumping,skill,freestyle,,,,,,,,,,,,,,
syazwan.frens.net,a great soccer video where some worldstar players showoff their skils,the,best,football,skills,349,syazwan,rZlVDWU0ZoE,"June 24, 2005",3,1121825880000,"Wed, 20 Jul 2005 02:18:00 GMT",20050720021800,,0,,,,,,,,,,,,,,,,,,,,,
Bubble Madness,I shot this video at my nephew's second birthday party using a Canon SD300 digi cam.,bubbles,cute,fun,kids,158,Kaizenamazen,y77vfcTztOo,"July 10, 2005",1,1121825880000,"Wed, 20 Jul 2005 02:18:00 GMT",20050720021800,,0,,,,,,,,,,,,,,,,,,,,,
Extreme Unicycling,I can not even ride a wheelie on a regular bike with out breaking a leg and these guys make it look so easy with a unicycle,unicycle,Extreme,skill,,326,larfus,9S13CWLHQ_8,"June 25, 2005",0,1121825880000,"Wed, 20 Jul 2005 02:18:00 GMT",20050720021800,,0,,,,,,,,,,,,,,,,,,,,,
My dance (red tie),me dancing,rave,dance,girl,,458,lqdchicky83,bkcoSFgOsMs,"July 12, 2005",10,1121844819000,"Wed, 20 Jul 2005 07:33:39 GMT",20050720073339,,0,,,,,,,,,,,,,,,,,,,,,
chick's *ss on fire,apologies if this is a retread,chick,fire,liquor,mryan,267,buckyball,qiCQT6TnEqs,"July 15, 2005",9,1121844819000,"Wed, 20 Jul 2005 07:33:39 GMT",20050720073339,,0,,,,,,,,,,,,,,,,,,,,,
California Rush,Hope ya like it :) made by me,sad,fantasy,fun,,9,Slightlyevil,ZigmrWcapxA,"July 19, 2005",1,1121844819000,"Wed, 20 Jul 2005 07:33:39 GMT",20050720073339,,0,,,,,,,,,,,,,,,,,,,,,
Tiffany,Is a total dork,tiffany,dork,faces,random,138,brennnnnnna,XEGJHUpg18A,"July 1, 2005",1,1121844819000,"Wed, 20 Jul 2005 07:33:39 GMT",20050720073339,,0,,,,,,,,,,,,,,,,,,,,,
ride with the 508,street bike stunts,motorcycles,stunts,streetbikes,,836,sickgsxr508,d351BFUYDYA,"June 27, 2005",2,1121844819000,"Wed, 20 Jul 2005 07:33:39 GMT",20050720073339,,0,,,,,,,,,,,,,,,,,,,,,
