title,duration,description,tags/0,tags/1,tags/2,tags/3,views,author,videoId,comments,numRatings,age,dateFeaturedEpoch,dateFeatured,timestampFeatured,stars,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20
real life frogger,10,car just misses everyone,frogger,accidents,cars,luck,98,asphaltjunkiez,SbY0Jh9_RJ8,,0,5 hours ago,1146602140000,"Tue, 02 May 2006 20:35:40 GMT",20060502203540,,,,,,,,,,,,,,,,,,
Diary of a Cartoonist Episode 7,250,The Wii is Wiierd,Nintendo,Wii,,,36259,MyExtraLife,1ckXnUyByhA,,230,19 hours ago,1146602140000,"Tue, 02 May 2006 20:35:40 GMT",20060502203540,2.5,,,,,,,,,,,,,,,,,
Chicago Immigrant Workers Rights March Pt 1,139,"Video of the Immigrant Workers Rights March and Rally that took place in Chicago on May 1, 2006. 
 
First of 3 clips. 
 
Part 2: 
http://www.youtube.com/watch?v =M-RkeJbtzW8 
  
Part 3: 
http://www.youtube.com/watch?v =4bf99BwCptw",immigrants,labor,,,17632,franscud,9a12yCk2_DQ,,262,20 hours ago,1146602140000,"Tue, 02 May 2006 20:35:40 GMT",20060502203540,2.5,,,,,,,,,,,,,,,,,
"""I didn't think so""",179,"Just wrote this about 10 minutes ago.. didn't think I've put a video on here in a while so, here's my latest C= 
 
LYRICS: 
 
Some people dress differently to stick out 
Some stick out on their own 
Some people try to run away (from it all) 
Some can't wait to get home 
 
Do you even know what this life is about? 
Do you know what I'm about to shout? 
 
I didn't think so, no 
I didn't think so 
 
If things go wrong,  
We move along 
 
But I didn't think so, no 
I didn't think so 
 
We'll be strong 
And move along 
 
Underestamating situations 
That which we have no control 
Losing touch of the destination 
'Cause that's just how we roll 
 
Do you even know what this life is about... etc etc etc.",unfabulous,music,guitar,,158545,unfabulous,MjRAbRZjqLE,,1311,6 days ago,1146602140000,"Tue, 02 May 2006 20:35:40 GMT",20060502203540,2.5,,,,,,,,,,,,,,,,,
SF International Film Festival Trailer,36,"49th SAN FRANCISCO INTERNATIONAL FILM FESTIVAL, April 20 - May 4,2006 
WWW.SFFS.ORG   
NEW PLATFORMS, NEW WORK, NEW EXPERIENCES 
MACHINIMA--ANIMATION--LIVE CINEMA--A SCANNER DARKLY--CELL CINEMA--ADDICTIVE 
TV--VJAY--MATTHEW BARNEY--INTERNATIONAL REMIX 
***PLUS, OVER 200 FILMS FROM AROUND THE WORLD 
  
SFIFF introduces the new KinoTek program, featuring live performances and 
exciting multimedia platforms that showcase how new technologies are 
transforming the way we make and watch  movies, and spark the next 
generation of the moving image. 
 
For Tickets and Information visit 
http://fest06.sffs.org/, 925-866-9559","""san","francisco""",film,festival,35093,sffs,Ua-HIk4_dyk,,116,1 week ago,1146602140000,"Tue, 02 May 2006 20:35:40 GMT",20060502203540,2.5,indie,short,movies,international,sfiff,,,,,,,,,,,,
Re-Enactment: Uncle Buck,192,"The Tenth of my Re-enactment series. 
 
Two weeks have gone by since my last video was uploaded... I've been lazy, I admit it. 
 
This is one of my favorite scenes of all time. John Candy's character goes to his niece's school to talk to her assistant principal about her behavior. He rips her a new one. 
 
The music before and after this scene plays a big part, so I couldn't resist beatboxing my own rendition of ""Wild Thing"" by Tone Loc in the end.  
 
I said I didn't want to do too many of these... but I think after doing ten, that statement holds no merit. Expect another re-enactment soon. 
 
I used some scotch tape and a pistachio nut for the volcanic wart on Anita Hoargarth's face.",uncle,buck,john,candy,41759,ArtieTSMITW,3k4O_id93o0,,500,6 days ago,1146602140000,"Tue, 02 May 2006 20:35:40 GMT",20060502203540,2.5,re-enactment,brandon,hardesty,GNAWTHATTHINGOFFYOURFACE!,,,,,,,,,,,,,
"Evans Blue ""Cold (But I'm Still Here)"" Music Video",98,"Toronto's Evans Blue have lit up the Rock and Modern Rock charts since releasing their debut single COLD (But I'm Still Here). Capitalizing on the success of COLD (But I'm Still Here), the group released their first album, The Melody and the Energetic Nature of Volume on February 21st. As one of the breakthrough rock success stories of the year, The Melody and the Energetic Nature of Volume became the Nation's #1 New Artist release in it's first week. The band is continually touring all year in support of their release. Director Paul Brown lends his creative eye to bring the bands energy through the screen and into your brain with the video for COLD (But I'm Still Here).",evans,blue,cold,but,89177,hollywoodrec,De-E6yZSo7M,,287,4 days ago,1146602140000,"Tue, 02 May 2006 20:35:40 GMT",20060502203540,2.5,im,still,here,music,video,hollywood,records,modern,rock,,,,,,,,
F-16 crash,48,"filmed from ground 
 
(i also have the internal camera footage as well, http://www.youtube.com/watch?v =6EBHOZeLqs8).",cool,,,,188215,fatbob79,b4Knsa7kBPE,,810,1 week ago,1146602140000,"Tue, 02 May 2006 20:35:40 GMT",20060502203540,2.5,,,,,,,,,,,,,,,,,
STRANGERS WITH CANDY - Teaser Trailer - Exclusive First Look,47,ThinkFilm presents an Exclusive first look at the Strangers With Candy movie trailer.  Keep an eye out.. the film hits theaters June 28th.,strangers,candy,amy,sedaris,180413,ThinkFilm,6I9wgY91VB8,,555,6 days ago,1146602140000,"Tue, 02 May 2006 20:35:40 GMT",20060502203540,2.5,david,gay,lesbian,humor,comedy,cult,classic,central,steven,colbert,funny,,,,,,
Smosh Short 1: Dolls,59,"Anthony plays with dolls? 
 
Watch this video in higher quality & download at www.smosh.com 
 
www.smosh.com 
www.myspace.com/smosh_com",smosh,short,dolls,anthony,170440,smosh,P1OXAQHv09E,,2207,6 days ago,1146602140000,"Tue, 02 May 2006 20:35:40 GMT",20060502203540,2.5,padilla,ian,hecox,,,,,,,,,,,,,,
Jump Boots free style 2,95,Jump Boots free style 2,Jump,Boots,,,9860,kvleung,YDNZzseSeJ8,,76,2 hours ago,1146612025000,"Tue, 02 May 2006 23:20:25 GMT",20060502232025,2.5,,,,,,,,,,,,,,,,,
real life frogger,10,car just misses everyone,frogger,accidents,cars,luck,27475,asphaltjunkiez,SbY0Jh9_RJ8,,236,8 hours ago,1146612025000,"Tue, 02 May 2006 23:20:25 GMT",20060502232025,2.5,,,,,,,,,,,,,,,,,
