title,duration,description,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,views,author,videoId,comments,stars,numRatings,age,dateFeaturedEpoch,dateFeatured,timestampFeatured,categories/0,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22
man catches cobra in mouth!,12,A preformer in Thailnad cathches a cobra in his mouth.,cobra,snake,thailand,fast,danger,venom,mouth,72958,,HITt_ButfRY,,2.5,252,2 days ago,1151720824000,"Sat, 01 Jul 2006 02:27:04 GMT",20060701022704,Entertainment,,,,,,,,,,,,,,,,
Impersonation,76,Impersonation of celebs.,Celebrites,Impersonation,Forest,Gump,Shawn,Cannery,Seinfeld,28724,,f8-nSghJKE4,,2.5,576,2 months ago,1151720824000,"Sat, 01 Jul 2006 02:27:04 GMT",20060701022704,Comedy   Entertainment,Matrix,Agent,Smith,Mr.,Anderson,,,,,,,,,,,
Peixes ao redor,105,Cardume de peixe em uma das praias de Pernambuco. Eles comem em nossa mão. Férias em dez 2005,peixe,nordeste,pernambuco,ferias,,,,27494,,3YDOr3nGAeU,,2.5,187,2 days ago,1151720824000,"Sat, 01 Jul 2006 02:27:04 GMT",20060701022704,Travel & Places,,,,,,,,,,,,,,,,
Blues harmonica Improv,63,blues harmoncia walk.,music,harmonica,blues,,,,,29305,,zTCCbdzb_Jw,,2.5,461,1 day ago,1151720824000,"Sat, 01 Jul 2006 02:27:04 GMT",20060701022704,Music,,,,,,,,,,,,,,,,
The French King of Mountainbiking,15,Here you go. Look at this creepy creature which is trying to shock his friends and family with an amazing stunt.,Bike,Bicycle,French,France,Idiot,,,51234,,mS08nRjcKA0,,2.5,281,1 month ago,1151720824000,"Sat, 01 Jul 2006 02:27:04 GMT",20060701022704,Comedy,,,,,,,,,,,,,,,,
invisible Octopus,47,"This Octopus turns invisible and visible at will.  Just watch. 
(Please check out my other videos)",invisible,octopus,animal,creature,amazing,,,231592,,OQWxIrSRDQQ,,2.5,1616,4 months ago,1151720824000,"Sat, 01 Jul 2006 02:27:04 GMT",20060701022704,Science & Technology,,,,,,,,,,,,,,,,
Massanutten Waterpark Flowrider,89,Matt Griffin on Massanutten Waterpark Flowrider. June 03 2006.,Flowrider,Flow,rider,Bodyboard,Body,board,surf,94500,,71M9jpT01Yg,,2.5,499,3 weeks ago,1151720824000,"Sat, 01 Jul 2006 02:27:04 GMT",20060701022704,Sports,wavehouse,waveloch,,,,,,,,,,,,,,
Explosion - An improvised synth solo,471,"MooT BooXLe performing on the Synthesizers.com modular analogue synthesizer. This is not a perfect performance, as it was improvised in one go.  
Also functioning in this video are the Moogerfooger CP-251, the Roland Space Echo, and Reason drums. 
I was controlling the filter cutoff with a CV pedal. 
If you enjoy this video (or if you don't), pleas
	
		MooT BooXLe performing on the Synthesizers.com modular analogue synthesizer. This is not a perfect performance, as it was improvised in one go.  
Also functioning in this video are the Moogerfooger CP-251, the Roland Space Echo, and Reason drums. 
I was controlling the filter cutoff with a CV pedal. 
If you enjoy this video (or if you don't), please visit me at www.mootbooxle.com!
		... (more)
		(less)",moot,booxle,improvised,keyboard,bass,analog,synthesizer,201433,,YP_XG08JHyw,,2.5,2177,3 weeks ago,1151720824000,"Sat, 01 Jul 2006 02:27:04 GMT",20060701022704,Music,synth,electronic,techno,synthesizers.com,solo,performance,,,,,,,,,,
Top Ten Video Game Weapons,341,GT Countdown takes a look at the weapons that cause the most damage and are most fun to use.,games,weapons,videogames,xbox,xbox360,snes,gamecube,298052,,GxSdKF5Fd38,,2.5,1320,4 days ago,1151720824000,"Sat, 01 Jul 2006 02:27:04 GMT",20060701022704,Video Games,doom,mario,ps2,ps3,halo,quake,metroid,,,,,,,,,
Toons With Guts Show episode 1,190,"EDIT: Just thought I'd address some issues a few viewers have. 
Firsly, I wasn't going for the most original cartoon award, it's just a bit of fun. It's drawn similar to the style of spumco, hence the ren & stimpy look. The sounds and music are from old Tex Avery shorts and the Looney Tunes shows to give it a classic sound. 
 
I animated this in 20
	
		EDIT: Just thought I'd address some issues a few viewers have. 
Firsly, I wasn't going for the most original cartoon award, it's just a bit of fun. It's drawn similar to the style of spumco, hence the ren & stimpy look. The sounds and music are from old Tex Avery shorts and the Looney Tunes shows to give it a classic sound. 
 
I animated this in 2004 using MACROMEDIA FLASH MX. 
It first went online on my (now rotting) website http://www.toonswithguts.com and then to the rest of the net, including NewGrounds.com where it was also featured. 
Haven't done an awful lot of animating since but I've got a lot of old cartoons I made which I'll upload gradually. 
 
Written/Animated/Voiced/Produced/Wh atever by: James Jouni! 
 
Check out my other videos, too =)
		... (more)
		(less)",vontana,ren,stimpy,rihm,maurice,jouni,cartoon,113017,,-dpyAskyXhM,,2.5,1168,2 weeks ago,1151720824000,"Sat, 01 Jul 2006 02:27:04 GMT",20060701022704,Arts & Animation,blood,gore,pain,cat,moron,man,comedy,no,brain,toons,with,guts,von,tana,,
Make: How to open a bottle of beer the Scandinavian way,81,Thomas Madsen-Mygdal shows us how in downtown Helsinki - introduced by Arwen O'Reilly. Filmed on a Nokia N93.,make,beer,thomasmadsenmygdal,helsinki,,,,84781,,zG4ztixR2KM,,2.5,208,1 week ago,1151732607000,"Sat, 01 Jul 2006 05:43:27 GMT",20060701054327,Travel & Places,,,,,,,,,,,,,,,,
man catches cobra in mouth!,12,A preformer in Thailnad cathches a cobra in his mouth.,cobra,snake,thailand,fast,danger,venom,mouth,107093,,HITt_ButfRY,,2.5,426,2 days ago,1151732607000,"Sat, 01 Jul 2006 05:43:27 GMT",20060701054327,Entertainment,,,,,,,,,,,,,,,,
Peixes ao redor,105,Cardume de peixe em uma das praias de Pernambuco. Eles comem em nossa mão. Férias em dez 2005,peixe,nordeste,pernambuco,ferias,,,,33672,,3YDOr3nGAeU,,2.5,198,2 days ago,1151732607000,"Sat, 01 Jul 2006 05:43:27 GMT",20060701054327,Travel & Places,,,,,,,,,,,,,,,,
Blues harmonica Improv,63,blues harmoncia walk.,music,harmonica,blues,,,,,37644,,zTCCbdzb_Jw,,2.5,571,1 day ago,1151732607000,"Sat, 01 Jul 2006 05:43:27 GMT",20060701054327,Music,,,,,,,,,,,,,,,,
The French King of Mountainbiking,15,Here you go. Look at this creepy creature which is trying to shock his friends and family with an amazing stunt.,Bike,Bicycle,French,France,Idiot,,,62843,,mS08nRjcKA0,,2.5,335,1 month ago,1151732607000,"Sat, 01 Jul 2006 05:43:27 GMT",20060701054327,Comedy,,,,,,,,,,,,,,,,
invisible Octopus,47,"This Octopus turns invisible and visible at will.  Just watch. 
(Please check out my other videos)",invisible,octopus,animal,creature,amazing,,,245632,,OQWxIrSRDQQ,,2.5,1694,4 months ago,1151732607000,"Sat, 01 Jul 2006 05:43:27 GMT",20060701054327,Science & Technology,,,,,,,,,,,,,,,,
Massanutten Waterpark Flowrider,89,Matt Griffin on Massanutten Waterpark Flowrider. June 03 2006.,Flowrider,Flow,rider,Bodyboard,Body,board,surf,101536,,71M9jpT01Yg,,2.5,527,3 weeks ago,1151732607000,"Sat, 01 Jul 2006 05:43:27 GMT",20060701054327,Sports,wavehouse,waveloch,,,,,,,,,,,,,,
Explosion - An improvised synth solo,471,"MooT BooXLe performing on the Synthesizers.com modular analogue synthesizer. This is not a perfect performance, as it was improvised in one go.  
Also functioning in this video are the Moogerfooger CP-251, the Roland Space Echo, and Reason drums. 
I was controlling the filter cutoff with a CV pedal. 
If you enjoy this video (or if you don't), pleas
	
		MooT BooXLe performing on the Synthesizers.com modular analogue synthesizer. This is not a perfect performance, as it was improvised in one go.  
Also functioning in this video are the Moogerfooger CP-251, the Roland Space Echo, and Reason drums. 
I was controlling the filter cutoff with a CV pedal. 
If you enjoy this video (or if you don't), please visit me at www.mootbooxle.com!
		... (more)
		(less)",moot,booxle,improvised,keyboard,bass,analog,synthesizer,209384,,YP_XG08JHyw,,2.5,2237,3 weeks ago,1151732607000,"Sat, 01 Jul 2006 05:43:27 GMT",20060701054327,Music,synth,electronic,techno,synthesizers.com,solo,performance,,,,,,,,,,
Top Ten Video Game Weapons,341,GT Countdown takes a look at the weapons that cause the most damage and are most fun to use.,games,weapons,videogames,xbox,xbox360,snes,gamecube,311080,,GxSdKF5Fd38,,2.5,1350,4 days ago,1151732607000,"Sat, 01 Jul 2006 05:43:27 GMT",20060701054327,Video Games,doom,mario,ps2,ps3,halo,quake,metroid,,,,,,,,,
Toons With Guts Show episode 1,190,"EDIT: Just thought I'd address some issues a few viewers have. 
Firsly, I wasn't going for the most original cartoon award, it's just a bit of fun. It's drawn similar to the style of spumco, hence the ren & stimpy look. The sounds and music are from old Tex Avery shorts and the Looney Tunes shows to give it a classic sound. 
 
I animated this in 20
	
		EDIT: Just thought I'd address some issues a few viewers have. 
Firsly, I wasn't going for the most original cartoon award, it's just a bit of fun. It's drawn similar to the style of spumco, hence the ren & stimpy look. The sounds and music are from old Tex Avery shorts and the Looney Tunes shows to give it a classic sound. 
 
I animated this in 2004 using MACROMEDIA FLASH MX. 
It first went online on my (now rotting) website http://www.toonswithguts.com and then to the rest of the net, including NewGrounds.com where it was also featured. 
Haven't done an awful lot of animating since but I've got a lot of old cartoons I made which I'll upload gradually. 
 
Written/Animated/Voiced/Produced/Wh atever by: James Jouni! 
 
Check out my other videos, too =)
		... (more)
		(less)",vontana,ren,stimpy,rihm,maurice,jouni,cartoon,116702,,-dpyAskyXhM,,2.5,1187,2 weeks ago,1151732607000,"Sat, 01 Jul 2006 05:43:27 GMT",20060701054327,Arts & Animation,blood,gore,pain,cat,moron,man,comedy,no,brain,toons,with,guts,von,tana,,
AMERICA'S GOT TALENT -Kid singer Bianca Ryan,205,Another kid singer from the show,America's,Got,Talent,Kid,Singer,,,164786,,p2Wq6CPLN9U,,2.5,1425,3 days ago,1151895373000,"Mon, 03 Jul 2006 02:56:13 GMT",20060703025613,Entertainment,,,,,,,,,,,,,,,,
