title,duration,description,views,author,videoId,uploadDate,comments,stars,numRatings,age,dateFeaturedEpoch,dateFeatured,timestampFeatured,categories/0,selectedBy,selectedByLink
Demands,138,Demands from your ipod.Wake up. September ended. Several months ago.,4364,BSAT1982,gRWIyvBSjtk,,,3.5,,,1167906244000,"Thu, 04 Jan 2007 10:24:04 GMT",20070104102404,Comedy,,
It's so fun! farting baby.,19,It's so fun! Baby enjoying her fart.,36553,phathune,tXNquTYnyg0,,,3.5,,,1167906244000,"Thu, 04 Jan 2007 10:24:04 GMT",20070104102404,People,,
College Saga - Episode 1,614,"Once upon a time, when Earth was still a beautiful place, an evil force came to turn all living things into Vegetarians.Three students from suburban Massachusetts would step up against this catastrophe... to end Vegetarian Supremacy.Mark, Jesús, Maria and their foes would make amazing personal discoveries as the two forces clash.And so began the ultimate saga about friendship, heritage, sex and explosions.",277563,markleung,gPutYwiiE0o,,,4.5,,,1167906244000,"Thu, 04 Jan 2007 10:24:04 GMT",20070104102404,Video Games,,
Strange Faces and Noises I Can Make III,99,"Pointless. Juvenile. Simple. I can see why you guys like it.P.S. - Thanks for the feature, Youtube. This video is a shining example of how one can be lauded for something that they put little or no effort into. This video took 20 minutes to make, edit, and post.Seriously, I totally agree with everyone who says this shouldn't have been featured. For those who put time and effort into making other videos (including myself), I sincerely apologize.",451600,ArtieTSMITW,bPx266rGw3E,,,3.5,,,1167906244000,"Thu, 04 Jan 2007 10:24:04 GMT",20070104102404,Comedy,,
"Terra Naomi's NEW Official ""Say It's Possible"" music video",219,"People from around the world filmed themselves and sent their videos to me. I asked everyone to answer the question ""what would you do/want if anything were possible?"" in three words or less. THANK YOU to all of you. This project is a true reflection of what we can do together.Directed by Jonathan Bird and produced by Sam Englebardt and Terra Naomi.For more information on how this video was created please go here: www.terranaomi.com.Peace and love to the world in 2007.loveterra",244051,terranaomi,AlXlhFlHR8A,,,4.5,,,1167906244000,"Thu, 04 Jan 2007 10:24:04 GMT",20070104102404,Music,,
YouTube Happy New Year,61,The YouTube staff wishes you a very happy 2007.,329558,YouTube,BPsfbV9t8Vw,,,3.5,,,1167906244000,"Thu, 04 Jan 2007 10:24:04 GMT",20070104102404,People,,
Happy New Year Beavers,99,"The Big Beaver, Robbie Wibley and his friends the squirrels would like to send you new year greetings in this Windows Movie Maker slide show with music.{edit} And before you all start slagging off my video... this was made for my group of friends, endearingly called the Beavers.  I created it to use on my blog to wish them all a Happy New Year.As I don't have a video server the easiest way to share this video was to upload it to Youtube and I put it in the New Year catagory.... why it has been featured... I have no idea.Prefer not to receive insulting comments as I didn't make the video for anyone else but my friends.... oh and BTW I am female!!Happy New Year",405586,LilyMyLovely,GvhJht7vZ7U,,,2.5,,,1167906244000,"Thu, 04 Jan 2007 10:24:04 GMT",20070104102404,Arts & Animation,,
pigs are like men (p.a.l.m),73,existentialist resolutions for 2007: the year of the pig,213468,idorou,UA6G8pEMk2k,,,2.5,,,1167906244000,"Thu, 04 Jan 2007 10:24:04 GMT",20070104102404,Arts & Animation,,
Happy New Year,87,How original?,338267,Zipster08,_ftneFA6HC4,,,3.5,,,1167906244000,"Thu, 04 Jan 2007 10:24:04 GMT",20070104102404,People,,
Blake Shelton - New Year's Predictions,126,Blake Shelton - New Year's Predictions,126248,warnerbrosrecords,FW8ivt6P2Lw,,,2.5,,,1167906244000,"Thu, 04 Jan 2007 10:24:04 GMT",20070104102404,Music,,
"""Ron Ronsmith and the Fake News""",190,"Sarcasm Much?A big thanks to MGM for doing an amazing intro (I think its better than the video :) ), be sure to check his youtube channel.http://www.youtube.com/mysteryguitarman*NOTE*:  I have semi-fixed the lighting issue in (Take-2) which is a response to this one, check it out.",1110,sxephil,WwlD5tfi8Hw,,,2.5,,,1168232728000,"Mon, 08 Jan 2007 05:05:28 GMT",20070108050528,Comedy,,
Britethorn Responds!,115,Britethorn's New Years Eve response to a viewer's comment.,723,britethorn,yVDSQDmZW9M,,,2.5,,,1168232728000,"Mon, 08 Jan 2007 05:05:28 GMT",20070108050528,Comedy,,
My Legendary Girlfriend,217,"In 2004 my bro and me made a short film but never completed it. I decided to take the footage and re-cut it around a track I wrote to fit the story of the film. It kinda makes a music video but i prefer to think of it as a story narrated with musical poetry - if that makes sense!? I know I'm no rapper but this is very much a primitive version of what I would like it to be, as always it was made with no budget and very little equipment so I'm pretty pleased with the overall result! Hope you like it too!!",279108,kee1000,kEysFttcIkE,,,3.5,,,1168232728000,"Mon, 08 Jan 2007 05:05:28 GMT",20070108050528,People,,
"God, Inc - Episode 1",218,"A comedy about life in the corporate offices of God. What if all the problems on earth were not caused by a spiteful deity, or karma, or fate, but just office politics and the Peter Principle?Episode 1 of 6: ""In The Beginning, There Was Paperwork..."" New hire Sarah is given a tour by Brad and meets the Product Development team.http://www.francisstokes.comPlease subscribe - more to come!",373664,francisstokesdotcom,b2f4heaG288,,,4.5,,,1168232728000,"Mon, 08 Jan 2007 05:05:28 GMT",20070108050528,Comedy,,
Impossible is the Opposite of Possible,289,"Michael Cera's video resume. Made for McSweeney's Presents: The World, Explained (a benefit for 826LA).  Directed by Nicholas Jasenovec.A parody of Aleksey Vayner's infamous ""Impossible is Nothing"" - http://www.youtube.com/watch?v=J7pok0TKDU8Here's the Merriam-Webster definition of parody, for all of the slower youtubers out there: http://www.m-w.com/dictionary/parody",340999,maplestreet,nAV0sxwx9rY,,,3.5,,,1168232728000,"Mon, 08 Jan 2007 05:05:28 GMT",20070108050528,Comedy,,
Ninja Assessment,179,"A young lady's video assignment was stolen by some crazy guy, will the assignment be safe...?",601575,guohaolay,2Ote_x2C6CE,,,3.5,,,1168232728000,"Mon, 08 Jan 2007 05:05:28 GMT",20070108050528,Comedy,,
Finding the Juice for 2007,52,"Harsh and rude is often my style, but this is me warming up for the new year, so a slightly softer, gentler Sean Bedlam video. It should all be unhinged, swear-ey, ranting from here on in.",145106,seanbedlam,FnYio8tMKOo,,,2.5,,,1168232728000,"Mon, 08 Jan 2007 05:05:28 GMT",20070108050528,Comedy,,
Previously,265,"A Matt Chin Film. Uncovering a murder mystery in reverse. This film was created in a 48 hour film competition and won 4 awards...Best Film, Best Director, Best Cinematography and Best Editing.MyshowsCrazy.com...myspace.com/themattshow",370790,mach28,SVaQ3bkLC28,,,4.5,,,1168232728000,"Mon, 08 Jan 2007 05:05:28 GMT",20070108050528,Entertainment,,
Demands,138,Demands from your ipod.Wake up. September ended. Several months ago.Yet another quality sketch from your heros over at Olde English.,329806,BSAT1982,gRWIyvBSjtk,,,3.5,,,1168232728000,"Mon, 08 Jan 2007 05:05:28 GMT",20070108050528,Comedy,,
It's so fun! farting baby.,19,It's so fun! Baby enjoying her fart.,2162,phathune,tXNquTYnyg0,,,3.5,,,1168232728000,"Mon, 08 Jan 2007 05:05:28 GMT",20070108050528,People,,
Picnic Casket - Monument Valley,183,"Me performing with my solo project, Picnic Casket, in a basement State College, PA on November 4th, 2006. Video taken by Matt S. (
	
	
			Me performing with my solo project, Picnic Casket, in a basement State College, PA on November 4th, 2006. Video taken by Matt S. (IAmElectrospecter).I wrote this song, so don't steal it, jerk.",432,picniccasket,Z8CiP-PedEU,,,2.5,,,1168308034000,"Tue, 09 Jan 2007 02:00:34 GMT",20070109020034,Music,,
How To Get A Guy In Silicon Valley,160,"In a response to the SNL Digital Short ""D%$# in a box,"" Randi and Jen reveal the three easy steps to get that special man in Silicon Valley!",254,RandiandJen,co9qBme4Dgk,,,2.5,,,1168308034000,"Tue, 09 Jan 2007 02:00:34 GMT",20070109020034,Comedy,,
"""Ron Ronsmith and the Fake News""",190,"A News Show that makes fun of itself and other YouTubers.  Be sure to check out ""Take Two"" with Ron Ronsmith.A big thanks to MGM for doing an amazing intro (I think its better than the video :) ), be sure to check his youtube channel.http://www.youtube.com/mysteryguitarman*NOTE*:  I have semi-fixed the lighting issue in (Take-2) which is a response to this one, check it out.",85459,sxephil,WwlD5tfi8Hw,,,2.5,,,1168308034000,"Tue, 09 Jan 2007 02:00:34 GMT",20070109020034,Comedy,,
Britethorn Responds!,115,Britethorn's New Years Eve response to a viewer's comment.,60986,britethorn,yVDSQDmZW9M,,,2.5,,,1168308034000,"Tue, 09 Jan 2007 02:00:34 GMT",20070109020034,Comedy,,
My Legendary Girlfriend,217,"In 2004 my bro and me made a short film but never completed it. I decided to take the footage and re-cut it around a track I wrote to fit the story of the film. It kinda makes a music video but i prefer to think of it as a story narrated with musical poetry - if that makes sense!? I know I'm no rapper but this is very much a primitive version of what I would like it to be, as always it was made with no budget and very little equipment so I'm pretty pleased with the overall result! Hope you like it too!!",440879,kee1000,kEysFttcIkE,,,3.5,,,1168308034000,"Tue, 09 Jan 2007 02:00:34 GMT",20070109020034,People,,
"God, Inc - Episode 1",218,"Episode 1 - A comedy about life in the corporate offices of God. What if all the problems on earth were not caused by a spiteful deity, or karma, or fate, but just office politics and the Peter Principle?Episode 1 of 6: ""In The Beginning, There Was Paperwork..."" New hire Sarah is given a tour by Brad and meets the Product Development team.http://www.francisstokes.comhttp://www.myspace.com/francisstokesPlease subscribe - more to come!",513717,francisstokesdotcom,b2f4heaG288,,,4.5,,,1168308034000,"Tue, 09 Jan 2007 02:00:34 GMT",20070109020034,Comedy,,
Impossible is the Opposite of Possible,289,"Michael Cera's video resume. Made for McSweeney's Presents: The World, Explained (a benefit for 826LA).  Directed by Nicholas Jasenovec.A parody of Aleksey Vayner's infamous ""Impossible is Nothing"" - http://www.youtube.com/watch?v=J7pok0TKDU8Here's the Merriam-Webster definition of parody, for all of the slower youtubers out there: http://www.m-w.com/dictionary/parody",384659,maplestreet,nAV0sxwx9rY,,,3.5,,,1168308034000,"Tue, 09 Jan 2007 02:00:34 GMT",20070109020034,Comedy,,
Ninja Assessment,179,"A young lady's video assignment was stolen by some crazy guy, will the assignment be safe...?",711081,guohaolay,2Ote_x2C6CE,,,3.5,,,1168308034000,"Tue, 09 Jan 2007 02:00:34 GMT",20070109020034,Comedy,,
Finding the Juice for 2007,52,"Harsh and rude is often my style, but this is me warming up for the new year, so a slightly softer, gentler Sean Bedlam video. It should all be unhinged, swear-ey, ranting from here on in.",157127,seanbedlam,FnYio8tMKOo,,,2.5,,,1168308034000,"Tue, 09 Jan 2007 02:00:34 GMT",20070109020034,Comedy,,
Previously,265,"A Matt Chin Film. Uncovering a murder mystery in reverse. This film was created in a 48 hour film competition and won 4 awards...Best Film, Best Director, Best Cinematography and Best Editing.MyshowsCrazy.com...myspace.com/themattshow",444069,mach28,SVaQ3bkLC28,,,4.5,,,1168308034000,"Tue, 09 Jan 2007 02:00:34 GMT",20070109020034,Entertainment,,
Puehse Twins Skateboarding,196,8 year-old skateboarding twins Tristan & Nic Puehse.  www.skateboardingtwins.com,95140,groms,8X2_zsnPkq8,,,4.5,,,1168629457000,"Fri, 12 Jan 2007 19:17:37 GMT",20070112191737,Sports,,
"Duke Rightious' ""C Minor Etude""",186,Filmed by the incredible Randy Keel.,73604,DukeRightious,u_5FaQff6EY,,,3.5,,,1168629457000,"Fri, 12 Jan 2007 19:17:37 GMT",20070112191737,Music,,
"""We""Tube: The Future of Youtube",216,"Why should we ""tube""?",171892,zakgeorge21,z7JgtjeIsuY,,,2.5,,,1168629457000,"Fri, 12 Jan 2007 19:17:37 GMT",20070112191737,News & Blogs,,
engagement india,131,david asked susie to marry him in the hills of Matheran,189414,susiefusion,hjoCsZpTv8s,,,2.5,,,1168629457000,"Fri, 12 Jan 2007 19:17:37 GMT",20070112191737,People,,
"Big Dancing, Small Town",313,"www.myspace.com/wobblypondproductionsWobbly Pond Productions brings you this overly cool, feel-good video of some big  dancing in a small town.",461439,QuadMagicalNESS,cEZsB3sQLnY,,,4.5,,,1168629457000,"Fri, 12 Jan 2007 19:17:37 GMT",20070112191737,Comedy,,
The Original Cuppycake Video,55,"Thanks for the feature, YouTube!No lip-syncing here folks, This is the REAL DEAL!: The original 1994 video of ""The Cuppycake Song"" (words and music by Judianna Castle) being recorded by the original artist (our daughter, Amy at age 3) in our home studio. Although there were many takes of the song during the session, this was the one that made it onto our BALLOONS children's CD and the one which has generated so much interest on the internet. Since uploading ""The Cuppycake Song"" to the web in 1996, it has truly taken on a life of it's own. On You Tube alone, there are currently at least 268 videos using this song! In the last ten years we have received thousands of unsolicited comments from people of all ages across the US and many countries around the world who have been touched by this simple song and the tiny voice that sings it. Now at last, you can see the face that goes with the voice. This should finally put to rest the false rumor that the song was sung by Strawberry Shortcake. (If Hallmark is smart,they'll turn this into an audio greeting card before the competition does.) Also search ""cuppycake bloopers"" to see more from the same session.To read some of the many listener comments and to see additional photos of Amy, please visit us at www.cuppycake.comAmy will be 17 in April and is now into creating and editing her own videos: http://www.youtube.com/watch?v=kQeGpmxcXMI",686528,sonoman,12Z6pWhM6TA,,,4.5,,,1168629457000,"Fri, 12 Jan 2007 19:17:37 GMT",20070112191737,People,,
DIY Home Made Steam Room,74,"Have you ever wanted to have your own steam room at home? check this video out and you will never have the worries of having to use the steam room at your health club which is usually full.FAQ:I said you need a tent,steam gun (used to removed wallpapers) and an inflatable chair to sit in while your inside.Am I gay? - No.Am I Australian? - Yes,but Im also hispanic so thats why I have a lisp.The Song is Baila Me by The Gypsy Kings.",274433,Triponic,O_6wBubwXBM,,,2.5,,,1168629457000,"Fri, 12 Jan 2007 19:17:37 GMT",20070112191737,People,,
How To Get A Guy In Silicon Valley,160,Randi and Jen reveal the three easy steps to get that special man in Silicon Valley!,1321,RandiandJen,co9qBme4Dgk,,,2.5,,,1168629457000,"Fri, 12 Jan 2007 19:17:37 GMT",20070112191737,Comedy,,
Picnic Casket - Monument Valley,183,"Pop with an edge. Metal with a vagina.www.myspace.com/picniccasketMe performing with my solo project, Picnic Casket, in a ba
	
	
			Pop with an edge. Metal with a vagina.www.myspace.com/picniccasketMe performing with my solo project, Picnic Casket, in a basement State College, PA on November 4th, 2006. Video taken by Matt S. (IAmElectrospecter).I wrote this song, so don't steal it, jerk.I record the backup drum tracks on Fruity Loops and guitar tracks on my computer and play along with them on lead guitar.Thank you all for your wonderful comments! BARF",166148,picniccasket,Z8CiP-PedEU,,,2.5,,,1168629457000,"Fri, 12 Jan 2007 19:17:37 GMT",20070112191737,Music,,
"""Ron Ronsmith and the Fake News""",190,"A News Show that makes fun of itself and other YouTubers.  Be sure to check out ""Take Two"" with Ron Ronsmith.A big thanks to MGM for doing an amazing intro (I think its better than the video :) ), be sure to check his youtube channel.http://www.youtube.com/mysteryguitarman*NOTE*:  I have semi-fixed the lighting issue in (Take-2) which is a response to this one, check it out.",198807,sxephil,WwlD5tfi8Hw,,,2.5,,,1168629457000,"Fri, 12 Jan 2007 19:17:37 GMT",20070112191737,Comedy,,
CAMEL TOE getting you down?! SkyMaul has the answer.,85,"SkyMaul, the new catalog parody has a solution. TURN YOUR CAMEL TOE INTO A HOOF AGAIN. By Kasper Hauser",24732,KasperHauserComedy,UULTRF3kg0s,,,2.5,,,1168648971000,"Sat, 13 Jan 2007 00:42:51 GMT",20070113004251,Comedy,,
World Freehand Circle Drawing Champion,78,Alexander Overwijk draws a perfect freehand circle 1m in diameter in less than a second.,99632,gravylookout,eAhfZUZiwSE,,,3.5,,,1168648971000,"Sat, 13 Jan 2007 00:42:51 GMT",20070113004251,Arts & Animation,,
Puehse Twins Skateboarding,196,8 year-old skateboarding twins Tristan & Nic Puehse.  www.skateboardingtwins.com,280514,groms,8X2_zsnPkq8,,,4.5,,,1168648971000,"Sat, 13 Jan 2007 00:42:51 GMT",20070113004251,Sports,,
"Duke Rightious' ""C Minor Etude""",186,Filmed by the incredible Randy Keel.,113312,DukeRightious,u_5FaQff6EY,,,3.5,,,1168648971000,"Sat, 13 Jan 2007 00:42:51 GMT",20070113004251,Music,,
"""We""Tube: The Future of Youtube",216,"Why should we ""tube""?",204656,zakgeorge21,z7JgtjeIsuY,,,2.5,,,1168648971000,"Sat, 13 Jan 2007 00:42:51 GMT",20070113004251,News & Blogs,,
engagement india,131,david asked susie to marry him in the hills of Matheran,213084,susiefusion,hjoCsZpTv8s,,,2.5,,,1168648971000,"Sat, 13 Jan 2007 00:42:51 GMT",20070113004251,People,,
"Big Dancing, Small Town",313,"www.myspace.com/wobblypondproductionsWobbly Pond Productions brings you this overly cool, feel-good video of some big  dancing in a small town.",524415,QuadMagicalNESS,cEZsB3sQLnY,,,4.5,,,1168648971000,"Sat, 13 Jan 2007 00:42:51 GMT",20070113004251,Comedy,,
The Original Cuppycake Video,55,"Thanks for the feature, YouTube!No lip-syncing here folks, This is the REAL DEAL!: The original 1994 video of ""The Cuppycake Song"" (words and music by Judianna Castle) being recorded by the original artist (our daughter, Amy at age 3) in our home studio. Although there were many takes of the song during the session, this was the one that made it onto our BALLOONS children's CD and the one which has generated so much interest on the internet. Since uploading ""The Cuppycake Song"" to the web in 1996, it has truly taken on a life of it's own. On You Tube alone, there are currently at least 268 videos using this song! In the last ten years we have received thousands of unsolicited comments from people of all ages across the US and many countries around the world who have been touched by this simple song and the tiny voice that sings it. Now at last, you can see the face that goes with the voice. This should finally put to rest the false rumor that the song was sung by Strawberry Shortcake. (If Hallmark is smart,they'll turn this into an audio greeting card before the competition does.) Also search ""cuppycake bloopers"" to see more from the same session.To read some of the many listener comments and to see additional photos of Amy, please visit us at www.cuppycake.comAmy will be 17 in April and is now into creating and editing her own videos: http://www.youtube.com/watch?v=kQeGpmxcXMI",733110,sonoman,12Z6pWhM6TA,,,4.5,,,1168648971000,"Sat, 13 Jan 2007 00:42:51 GMT",20070113004251,People,,
DIY Home Made Steam Room,74,"Have you ever wanted to have your own steam room at home? check this video out and you will never have the worries of having to use the steam room at your health club which is usually full.FAQ:I said you need a tent,steam gun (used to removed wallpapers) and an inflatable chair to sit in while your inside.Isn't it called a sauna? - Nope,a sauna uses a heater or rocks to heat up the room,a steam room uses umm lets see.....STEAM!Am I gay or bi? - No.Am I Australian? - Yes,but Im also hispanic so thats why I have a lisp.The Song is Baila Me by The Gypsy Kings.",303764,Triponic,O_6wBubwXBM,,,2.5,,,1168648971000,"Sat, 13 Jan 2007 00:42:51 GMT",20070113004251,People,,
How To Get A Guy In Silicon Valley,160,Randi and Jen reveal the three easy steps to get that special man in Silicon Valley!,1399,RandiandJen,co9qBme4Dgk,,,2.5,,,1168648971000,"Sat, 13 Jan 2007 00:42:51 GMT",20070113004251,Comedy,,
World Freehand Circle Drawing Champion,78,Alexander Overwijk draws a perfect freehand circle 1m in diameter in less than a second.,520797,gravylookout,eAhfZUZiwSE,,,4.5,,,1168713706000,"Sat, 13 Jan 2007 18:41:46 GMT",20070113184146,Arts & Animation,,
Puehse Twins Skateboarding,196,8 year-old skateboarding twins Tristan & Nic Puehse.  www.skateboardingtwins.com,535303,groms,8X2_zsnPkq8,,,4.5,,,1168713706000,"Sat, 13 Jan 2007 18:41:46 GMT",20070113184146,Sports,,
"Duke Rightious' ""C Minor Etude""",186,Filmed by the incredible Randy Keel.,176236,DukeRightious,u_5FaQff6EY,,,3.5,,,1168713706000,"Sat, 13 Jan 2007 18:41:46 GMT",20070113184146,Music,,
"""We""Tube: The Future of Youtube",216,"Why should we ""tube""?",258051,zakgeorge21,z7JgtjeIsuY,,,2.5,,,1168713706000,"Sat, 13 Jan 2007 18:41:46 GMT",20070113184146,News & Blogs,,
engagement india,131,david asked susie to marry him in the hills of Matheran,242545,susiefusion,hjoCsZpTv8s,,,2.5,,,1168713706000,"Sat, 13 Jan 2007 18:41:46 GMT",20070113184146,People,,
"Big Dancing, Small Town",313,"www.myspace.com/wobblypondproductionsWobbly Pond Productions brings you this overly cool, feel-good video of some big  dancing in a small town.",606828,QuadMagicalNESS,cEZsB3sQLnY,,,4.5,,,1168713706000,"Sat, 13 Jan 2007 18:41:46 GMT",20070113184146,Comedy,,
The Original Cuppycake Video,55,"Thanks for the feature, YouTube!No lip-syncing here folks, This is the REAL DEAL!: The original 1994 video of ""The Cuppycake Song"" (words and music by Judianna Castle) being recorded by the original artist (our daughter, Amy at age 3) in our home studio. Although there were many takes of the song during the session, this was the one that made it onto our BALLOONS children's CD(www.cdbaby/buddycastle)and the one which has generated so much interest on the internet. Since uploading ""The Cuppycake Song"" to the web in 1996, it has truly taken on a life of it's own. On You Tube alone, there are currently at least 268 videos using this song! In the last ten years we have received thousands of unsolicited comments from people of all ages across the US and many countries around the world who have been touched by this simple song and the tiny voice that sings it. Now at last, you can see the face that goes with the voice. This should finally put to rest the false rumor that the song was sung by Strawberry Shortcake. (If Hallmark is smart,they'll turn this into an audio greeting card before the competition does.) To read some of the many listener comments and to see additional photos of Amy, please visit us at www.cuppycake.comAmy will be 17 in April and is now into creating and editing her own videos: http://www.youtube.com/watch?v=kQeGpmxcXMI",828241,sonoman,12Z6pWhM6TA,,,4.5,,,1168713706000,"Sat, 13 Jan 2007 18:41:46 GMT",20070113184146,People,,
DIY Home Made Steam Room,74,"Have you ever wanted to have your own steam room at home? check this video out and you will never have the worries of having to use the steam room at your health club which is usually full.FAQ:I said you need a tent,steam gun (used to removed wallpapers) and an inflatable chair to sit in while your inside.Isn't it called a sauna? - Nope,a sauna uses a heater or rocks to heat up the room,a steam room uses umm lets see.....STEAM!Am I gay or bi? - No.Am I Australian? - Yes,but Im also hispanic so thats why I have a lisp.The Song is Baila Me by The Gypsy Kings.",350815,Triponic,O_6wBubwXBM,,,2.5,,,1168713706000,"Sat, 13 Jan 2007 18:41:46 GMT",20070113184146,People,,
How To Get A Guy In Silicon Valley,160,Randi and Jen reveal the three easy steps to get that special man in Silicon Valley!,1536,RandiandJen,co9qBme4Dgk,,,2.5,,,1168713706000,"Sat, 13 Jan 2007 18:41:46 GMT",20070113184146,Comedy,,
Picnic Casket - Monument Valley,183,"Pop with an edge. Metal with a vagina.www.myspace.com/picniccasketMe performing with my solo project, Picnic Casket, in a ba
	
	
			Pop with an edge. Metal with a vagina.www.myspace.com/picniccasketMe performing with my solo project, Picnic Casket, in a basement State College, PA on November 4th, 2006. Video taken by Matt S. (IAmElectrospecter).I wrote this song, so don't steal it, jerk.I record the backup drum tracks on Fruity Loops and guitar tracks on my computer and play along with them on lead guitar.Thank you all for your wonderful comments! BARF",180652,picniccasket,Z8CiP-PedEU,,,2.5,,,1168713706000,"Sat, 13 Jan 2007 18:41:46 GMT",20070113184146,Music,,
Unflinching Triumph,147,"""Unflinching Triumph"" provides an illuminating look at a man we never knew and a competitive sport we never knew existed",317379,jrmccord,gGrEHMvDEN8,,,3.5,,,1168748979000,"Sun, 14 Jan 2007 04:29:39 GMT",20070114042939,Sports,,
Viral Video Genius,210,"Viral Video Czar Kevin Nalty, also known as Nalts, shares his inspiration on what makes him an undiscovered legend of viral video.** Thanks for featuring me, YouTube. I promise I'll be nice from now on. Oh- and for those of you who may not understand, this is self depricating humor. I don't REALLY think I'm a viral video genius. Maybe a viral video czar... but that's about it.For more of Nalts see username GOOTUBECONSPIRACY and MEDIAMOGIRL.",10033,nalts,aXJVxmWTmkg,,,3.5,,,1168748979000,"Sun, 14 Jan 2007 04:29:39 GMT",20070114042939,Comedy,,
World Freehand Circle Drawing Champion,78,Alexander Overwijk draws a perfect freehand circle 1m in diameter in less than a second.,836086,gravylookout,eAhfZUZiwSE,,,4.5,,,1168748979000,"Sun, 14 Jan 2007 04:29:39 GMT",20070114042939,Arts & Animation,,
Puehse Twins Skateboarding,196,8 year-old skateboarding twins Tristan & Nic Puehse.  www.skateboardingtwins.com,675212,groms,8X2_zsnPkq8,,,4.5,,,1168748979000,"Sun, 14 Jan 2007 04:29:39 GMT",20070114042939,Sports,,
"Duke Rightious' ""C Minor Etude""",186,Order CD at www.dukerightious.com,218788,DukeRightious,u_5FaQff6EY,,,3.5,,,1168748979000,"Sun, 14 Jan 2007 04:29:39 GMT",20070114042939,Music,,
"""We""Tube: The Future of Youtube",216,"Why should we ""tube""?",291479,zakgeorge21,z7JgtjeIsuY,,,2.5,,,1168748979000,"Sun, 14 Jan 2007 04:29:39 GMT",20070114042939,News & Blogs,,
engagement india,131,david asked susie to marry him in the hills of Matheran,261524,susiefusion,hjoCsZpTv8s,,,2.5,,,1168748979000,"Sun, 14 Jan 2007 04:29:39 GMT",20070114042939,People,,
"Big Dancing, Small Town",313,"www.myspace.com/wobblypondproductionsWobbly Pond Productions brings you this overly cool, feel-good video of some big  dancing in a small town.",672625,QuadMagicalNESS,cEZsB3sQLnY,,,4.5,,,1168748979000,"Sun, 14 Jan 2007 04:29:39 GMT",20070114042939,Comedy,,
The Original Cuppycake Video,55,"Thanks for the feature, YouTube!No lip-syncing here folks, This is the REAL DEAL!: The original 1994 video of ""The Cuppycake Song"" (words and music by Judianna Castle) being recorded by the original artist (our daughter, Amy at age 3) in our home studio. Although there were many takes of the song during the session, this was the one that made it onto our BALLOONS children's CD(www.cdbaby/buddycastle)and the one which has generated so much interest on the internet. Since uploading ""The Cuppycake Song"" to the web in 1996, it has truly taken on a life of it's own. On You Tube alone, there are currently at least 268 videos using this song! In the last ten years we have received thousands of unsolicited comments from people of all ages across the US and many countries around the world who have been touched by this simple song and the tiny voice that sings it. Now at last, you can see the face that goes with the voice. This should finally put to rest the false rumor that the song was sung by Strawberry Shortcake. (If Hallmark is smart,they'll turn this into an audio greeting card before the competition does.) To read some of the many listener comments and to see additional photos of Amy, please visit us at www.cuppycake.com Get the ringtone at www.jivjiv.comAmy will be 17 in April and is now into creating and editing her own videos: http://www.youtube.com/watch?v=kQeGpmxcXMI",883726,sonoman,12Z6pWhM6TA,,,4.5,,,1168748979000,"Sun, 14 Jan 2007 04:29:39 GMT",20070114042939,People,,
